max buffer gets delta,max executions delta,max ELAPSED TIME DELTA ,max rows TIME DELTA ,max disk reads delta,max cpu TIME DELTA 
2066,112,2811366,921,37,0
5,1,774569,1,2,0
2802,2,1354783,6,0,78125
1649,1,820651,1,30,31250
62,1,339281,1,3,140625
8,4,7085,4,0,0
134,19,48964,19,0,0
46,10,965,18,0,0
0,2,1339,0,0,0
553,44,7159225,44,157,93750
727,72,4267160,72,31,62500
26,20,2819,0,0,0
539,1,7086976,1,43,62500
342,1,1680960,1,22,46875
884,1,605453,52,23,62500
142,1,4745201,1,4,31250
96,49,256485,47,3,0
997,268,1532837,3194,21,78125
77,20,93123,20,1,31250
3263,796,10253107,786,70,62500
53,4,527440,5,8,15625
468,82,5147623,93,71,15625
613,1,118174,0,0,62500
35,5,23737,0,0,15625
783,1,11222407,1,109,125000
25,1,20351,0,0,15625
414,1,11423552,8,42,31250
1658,1,6040891,0,48,46875
210,1,15165,0,0,15625
2465,139,20361866,953,151,93750
139,41,921081,41,5,15625
148,4,1499735,36,72,15625
466,82,4117378,81,135,15625
65,1,248055,1,1,15625
454,19,105783,38,4,31250
473,1,724533,28,3,15625
0,0,0,0,0,0
92,23,6316,23,0,0
958,99,28889,380,1,15625
0,0,0,0,0,0
519,1,760135,0,15,31250
799,190,591847,190,1,187500
5055,1,3005802,0,1977,203125
15084,5271,14735098,4220,108,265625
3733,24,1261537,24,23,140625
15,12,19468,0,1,15625
218,72,17651,72,0,15625
15,325,2474746,325,0,2281250
1468,404,699321,404,19,15625
108,1,488794,0,1,140625
836,49,13957686,3007,17,7406250
1322,1,8950489,1,142,93750
8742,992,16484701,992,160,125000
14020,1,16480382,2709,1138,312500
199,73,29508,146,2,0
95,1,306342,1,4,15625
39,11,86813,2,1,0
1567,1,5977093,1,71,93750
53488,1,15442960,51,110,5859375
50,2,9854,2,0,0
2604,851,13080236,12043,195,187500
357,117,8767,0,0,0
21693,1,13451384,0,154,906250
1136,142,19027,142,0,15625
959,1,3076581,1,675,62500
4530,1120,7384182,1081,70,203125
148,4,179647,36,72,0
844,158,8586246,153,212,46875
0,1,777627,1,0,734375
1569,498,3429700,498,41,31250
179,44,211115,0,1,0
137,1,611840,8,9,359375
500,1,9967544,0,56,31250
1663,3,13167074,3,116,93750
533,118,98217,118,1,46875
4,1,18529,1,0,15625
151,1,607177,8,9,390625
314,1,708346,1,13,46875
89,75,9902,0,0,31250
0,0,0,0,0,0
444,119,544747,210,2,15625
596,101,958939,144,16,46875
3765,503,5681952,878,40,328125
62,1,499863,1,4,125000
50,4,393060,4,5,46875
2392,158,26092578,600,860,140625
67,14,2306,0,0,15625
66,50,20740,2,1,0
3833,1,36015363,1,252,406250
465,1,46155,1,0,46875
28,1,24550,1,0,31250
460,128,1288566,0,9,0
671,2,6029573,3,37,187500
482,229,639078,0,12,31250
356,105,2480402,105,25,0
237,64,9192,0,0,0
184,118,322840,0,1,15625
861,1,988742,0,10,265625
4090,335,10702863,1701,95,125000
1497,1,2939960,10,627,140625
596,1,69030,1,0,46875
1423,477,675544,469,9,0
237,27,892935,27,5,15625
207,51,29589,59,1,46875
0,1,371184,8,0,343750
2413,207,260311,985,5,31250
161,28,90402,86,1,15625
623,1,4162426,0,40,218750
23,167,9511,0,0,15625
248,49,16356,49,0,31250
14182,1,214149,1,5,156250
3188,1,1327460,0,59,187500
583,227,891381,117,2,31250
1644,50,47619,940,0,62500
15185,395,3321322,2818,18,500000
134,34,910444,26,13,15625
67,2,173674,3,0,171875
28422,9472,322399,9472,0,312500
124,12,13697,0,0,0
414,101,2726988,101,45,31250
2272,508,2601008,508,25,46875
180,89,11935,89,0,0
114,64,414694,50,3,0
1039,1,26443,1,0,31250
13028,1,47497727,1,559,1296875
1657,78,10649617,1716,99,140625
5847,146,1229887,1716,11,281250
5248,80,24243067,80,83,437500
134,120,9293,0,0,15625
224,1,64487,1,0,62500
6772,1,232472,1,4,140625
928,2,4510521,66,133,281250
200237,1,132023734,0,1528,23265625
401,59,1743982,75,125,46875
65,1,25803,1,1,15625
454,19,163214,38,4,31250
0,2,640715,2,0,15625
55,10,110232,10,7,0
500,1,3933379,0,56,62500
218,1,130972,1,9,46875
0,15,11271,15,0,15625
414,101,2233963,101,45,0
785,148,581674,148,24,15625
59,12,169836,12,5,0
228,1,145274,16,9,93750
50,12,3119,12,2,0
249,1,72928,8,4,0
131,39,51749,78,2,31250
488,1,2195086,1,30,31250
170,43,1222917,43,23,31250
996,332,468195,332,9,15625
65,14,677356,14,16,15625
85,5,165948,0,0,46875
11,6,3468,5,0,0
44,4,65086,4,2,0
0,0,0,0,0,0
335,68,652088,60,79,15625
36,1,1841006,1,7,0
87,1,5233,19,0,0
18,1,5930,0,0,0
4972,1,4533990,0,2001,140625
0,2,829670,2,0,0
57,11,1730488,11,7,31250
2311,1,4905905,1,149,234375
500,1,13144961,0,55,93750
142,22,753610,0,9,31250
0,15,9357,15,0,15625
414,101,5746493,101,45,46875
805,153,2149764,153,25,15625
62,13,362439,13,5,15625
815,1,6560892,1,26,109375
6702,1,139500,0,0,140625
85,5,1180276,0,0,46875
142,40,547406,39,5,15625
541,387,447375,73,4,31250
1120,1,5244012,1,151,187500
2298,1,8167785,1,107,109375
67,16,231642,16,7,0
539,1,7426992,1,44,31250
32481,1,22598110,1,1825,1421875
94,1,23711,0,1,31250
291,64,33011,74,2,31250
4730,336,20406240,1747,185,109375
2415,640,1951264,11062,23,125000
53,4,234458,5,8,15625
922,158,10687197,193,103,15625
131,36,3280874,36,33,62500
72,4,289370,10,22,15625
502,157,4701997,49,58,15625
116,44,95117,0,1,31250
736,1,7889843,1,107,93750
4529,1,8055709,0,141,421875
