max buffer gets delta,max executions delta,max ELAPSED TIME DELTA ,max rows TIME DELTA ,max disk reads delta,max cpu TIME DELTA 
311,102,17229,74,0,15625
97,2,26850,2,0,15625
16,8,1423,8,0,0
6,1,3095098,1,0,0
2338,0,12912185,0,35,218750
25,25,1087,0,0,15625
0,76,56578,1596,0,62500
110,27,25196,479,0,46875
25,25,3827,25,0,0
0,0,0,0,0,0
66,12,163049,14,1,0
41,1,1674807,10,5,15625
2,1,80,0,0,0
6,1,44460,11,0,0
0,9,31126,9,0,0
0,99,25505,1386,0,0
48,1,901,3,0,0
20,5,5459,5,0,0
0,1,42932,0,0,46875
0,1,4889,0,0,15625
44,1,34109,0,0,15625
259,1,19074,1000,0,15625
2,1,1393,1,0,15625
0,66,24693,66,0,0
263,92,13748,85,0,15625
0,99,27597,1386,0,0
26,4,256,9,0,0
0,1,162229,1,0,0
7,1,1160,5,0,15625
20,5,1726,5,0,0
0,0,0,0,0,0
160,10,577274,0,0,15625
347,1,2256736,0,8,31250
3,1,76232,0,0,0
3,1,50,0,0,0
14,2,1418,4,0,0
0,0,0,0,0,0
0,0,0,0,0,0
160,1,8709,535,0,15625
0,5,468,0,0,0
15,5,1054,5,0,0
11,1,168533,1,0,0
6,1,328403,8,0,328125
68,1,17204,0,0,15625
730,195,14551,350,0,0
0,3,3937,3,0,15625
16,4,194,4,0,0
662,206,27802,177,0,15625
0,3,91503326,3,0,437500
0,3,5683,3,0,15625
35,5,6239,5,0,15625
1782,594,250813,5,0,62500
0,1,326146,8,0,328125
68,1,22654,63,3,0
6,1,36884,12,0,0
10,10,1257,0,0,0
18,1,123091,4,0,0
6,1,326933,8,0,328125
5,5,638,5,0,0
322,1,1780697,0,6,31250
2,1,107,0,0,0
32,8,2404,8,0,0
0,5,882,0,0,0
40,5,1669,5,0,0
0,92,3590,0,0,15625
215,5,2104,195,0,0
0,0,0,0,0,0
2833,2,483984,2,0,187500
263,23,367747,75,1,15625
259,90,14514,84,0,31250
0,0,0,0,0,0
35,12,1601774,4,4,0
135,19,39676,29,0,31250
0,0,0,0,0,0
0,0,0,0,0,0
0,1,600606,0,0,0
0,0,0,0,0,0
12,10,3160,1,0,0
266,1,119256,0,0,93750
15,5,3180,5,0,0
176,1,195176,3,1,78125
3,1,8441427,0,0,0
71,17,24186,17,0,15625
